price,volume,closing_time
111607.98000000,0.11248000,1757481899999
111571.58000000,0.01793000,1757482199999
111566.00000000,0.37653000,1757482499999
111606.02000000,0.09983000,1757482799999
111667.64000000,0.11726000,1757483099999
111668.00000000,0.26768000,1757483399999
111433.99000000,0.89977000,1757483699999
111592.26000000,0.16453000,1757483999999
111570.01000000,0.07165000,1757484299999
111492.01000000,0.63540000,1757484599999
111514.00000000,0.23770000,1757484899999
111624.01000000,0.11229000,1757485199999
111602.01000000,0.11703000,1757485499999
111786.16000000,0.28023000,1757485799999
111722.01000000,1.13310000,1757486099999
111844.00000000,2.19394000,1757486399999
111916.01000000,0.47163000,1757486699999
111958.95000000,0.25856000,1757486999999
111896.02000000,0.21347000,1757487299999
111786.00000000,0.31204000,1757487599999
111838.01000000,0.45616000,1757487899999
111873.03000000,0.22695000,1757488199999
111923.03000000,0.18548000,1757488499999
111895.20000000,0.74490000,1757488799999
112018.43000000,0.83918000,1757489099999
112279.99000000,0.85517000,1757489399999
112148.00000000,0.70935000,1757489699999
112098.99000000,0.35302000,1757489999999
112262.01000000,0.32036000,1757490299999
112355.51000000,2.17023000,1757490599999
112557.98000000,0.68351000,1757490899999
112558.01000000,0.75848000,1757491199999
112479.98000000,0.50336000,1757491499999
112647.58000000,0.32138000,1757491799999
112768.00000000,0.67386000,1757492099999
112719.99000000,0.69774000,1757492399999
112744.27000000,1.35815000,1757492699999
112678.33000000,0.10508000,1757492999999
112588.75000000,0.18334000,1757493299999
112644.63000000,0.47827000,1757493599999
112570.76000000,1.40737000,1757493899999
112532.01000000,0.24306000,1757494199999
112343.82000000,0.26160000,1757494499999
112384.00000000,0.05225000,1757494799999
112338.15000000,0.09900000,1757495099999
112190.00000000,1.42668000,1757495399999
112203.85000000,0.33629000,1757495699999
112224.14000000,0.31570000,1757495999999
112337.85000000,0.09426000,1757496299999
112365.78000000,0.19428000,1757496599999
112422.06000000,0.20702000,1757496899999
112326.00000000,0.14611000,1757497199999
112297.06000000,0.18883000,1757497499999
112355.24000000,0.27500000,1757497799999
112261.63000000,0.10351000,1757498099999
112300.17000000,0.26350000,1757498399999
112299.15000000,0.15133000,1757498699999
112326.01000000,0.10333000,1757498999999
112364.01000000,0.22001000,1757499299999
112271.87000000,0.22709000,1757499599999
112305.27000000,0.50398000,1757499899999
112423.73000000,0.31981000,1757500199999
112439.98000000,0.02382000,1757500499999
112410.00000000,0.14810000,1757500799999
112367.03000000,0.58485000,1757501099999
112340.81000000,0.44371000,1757501399999
112341.10000000,0.15581000,1757501699999
112336.00000000,0.03560000,1757501999999
112346.82000000,0.29750000,1757502299999
112284.86000000,0.02072000,1757502599999
112333.42000000,0.57503000,1757502899999
112366.32000000,0.07894000,1757503199999
112329.98000000,0.43431000,1757503499999
112348.21000000,0.06188000,1757503799999
112332.00000000,0.24842000,1757504099999
112288.00000000,0.20413000,1757504399999
112267.59000000,0.42358000,1757504699999
112319.98000000,0.44111000,1757504999999
112286.00000000,0.05939000,1757505299999
112311.99000000,0.04279000,1757505599999
112394.91000000,0.19239000,1757505899999
112433.99000000,0.39190000,1757506199999
112426.01000000,0.64702000,1757506499999
112608.80000000,0.69274000,1757506799999
112728.44000000,0.85639000,1757507099999
112637.98000000,0.44972000,1757507399999
113358.00000000,5.19439000,1757507699999
113034.19000000,2.67113000,1757507999999
113249.99000000,1.47687000,1757508299999
112997.99000000,0.70443000,1757508599999
113200.01000000,0.71861000,1757508899999
113406.92000000,0.64392000,1757509199999
113567.99000000,2.82907000,1757509499999
113799.98000000,1.25106000,1757509799999
113757.01000000,0.83441000,1757510099999
113649.99000000,0.52945000,1757510399999
113459.00000000,1.72746000,1757510699999
113659.99000000,0.51030000,1757510999999
113599.40000000,1.17583000,1757511299999
113702.00000000,0.69615000,1757511599999
114012.94000000,1.15601000,1757511899999
114284.01000000,1.15721000,1757512199999
113828.00000000,0.95323000,1757512499999
113980.00000000,0.61570000,1757512799999
114006.27000000,0.99146000,1757513099999
114133.99000000,0.88197000,1757513399999
114054.71000000,0.71554000,1757513699999
114133.40000000,0.85910000,1757513999999
114256.00000000,2.25074000,1757514299999
114124.00000000,0.30142000,1757514599999
114012.00000000,0.57567000,1757514899999
114005.34000000,0.51285000,1757515199999
114095.98000000,0.78784000,1757515499999
113972.00000000,1.29230000,1757515799999
113840.00000000,0.36566000,1757516099999
113945.98000000,0.82718000,1757516399999
113963.99000000,0.56654000,1757516699999
114076.01000000,0.61343000,1757516999999
114082.01000000,0.14423000,1757517299999
113935.98000000,0.78797000,1757517599999
113859.99000000,0.72001000,1757517899999
113902.02000000,1.80704000,1757518199999
113853.99000000,0.74615000,1757518499999
113877.99000000,1.02011000,1757518799999
113913.98000000,0.63004000,1757519099999
113934.00000000,1.55298000,1757519399999
113880.01000000,0.26572000,1757519699999
113882.01000000,1.33560000,1757519999999
113910.00000000,0.31574000,1757520299999
113789.69000000,0.41579000,1757520599999
113785.98000000,0.33346000,1757520899999
113702.01000000,2.30650000,1757521199999
113763.99000000,0.56530000,1757521499999
113699.99000000,0.06251000,1757521799999
113640.03000000,0.10617000,1757522099999
113668.00000000,0.40826000,1757522399999
113770.01000000,0.67290000,1757522699999
113686.00000000,0.34225000,1757522999999
113709.75000000,0.64697000,1757523299999
113795.99000000,0.42002000,1757523599999
113923.99000000,0.30809000,1757523899999
113934.01000000,0.20410000,1757524199999
114041.99000000,0.19765000,1757524499999
113978.01000000,0.30307000,1757524799999
113776.01000000,0.22699000,1757525099999
113514.00000000,0.67577000,1757525399999
113593.99000000,0.37750000,1757525699999
113616.00000000,0.46461000,1757525999999
113692.59000000,0.21426000,1757526299999
113729.99000000,0.25395000,1757526599999
113728.42000000,0.29836000,1757526899999
113752.01000000,0.29073000,1757527199999
113829.43000000,0.05265000,1757527499999
113813.85000000,0.17236000,1757527799999
113750.01000000,0.29683000,1757528099999
113666.67000000,0.14144000,1757528399999
113586.00000000,0.90278000,1757528699999
113416.01000000,0.74785000,1757528999999
113580.00000000,0.80690000,1757529299999
113570.01000000,0.18321000,1757529599999
113571.05000000,0.52285000,1757529899999
113417.27000000,0.39281000,1757530199999
113536.01000000,0.61223000,1757530499999
113646.01000000,1.63432000,1757530799999
113538.77000000,0.29287000,1757531099999
113556.79000000,1.01835000,1757531399999
113397.63000000,0.39113000,1757531699999
113347.18000000,0.36164000,1757531999999
113312.00000000,0.27735000,1757532299999
113194.01000000,0.55455000,1757532599999
113346.01000000,0.27867000,1757532899999
113322.68000000,1.16423000,1757533199999
113491.76000000,1.51401000,1757533499999
113476.00000000,0.50502000,1757533799999
113410.43000000,0.15162000,1757534099999
113618.01000000,0.43754000,1757534399999
113655.72000000,0.67258000,1757534699999
113750.95000000,2.04450000,1757534999999
113690.01000000,0.51694000,1757535299999
113739.98000000,0.07337000,1757535599999
113834.00000000,0.15588000,1757535899999
113811.37000000,0.53226000,1757536199999
113703.99000000,0.27990000,1757536499999
113747.99000000,0.48791000,1757536799999
113730.01000000,0.05976000,1757537099999
113679.50000000,0.19769000,1757537399999
113653.48000000,0.46578000,1757537699999
113596.86000000,0.62102000,1757537999999
113718.00000000,0.97445000,1757538299999
113820.15000000,0.30115000,1757538599999
113744.01000000,0.15228000,1757538899999
113780.00000000,0.01758000,1757539199999
113746.81000000,0.46191000,1757539499999
113746.81000000,0.01758000,1757539799999
113700.01000000,0.16236000,1757540099999
113797.12000000,0.41778000,1757540399999
113864.83000000,0.01755000,1757540699999
113816.25000000,0.13293000,1757540999999
113853.86000000,0.04468000,1757541299999
113865.62000000,0.01008000,1757541599999
113986.83000000,1.32354000,1757541899999
113923.03000000,0.32027000,1757542199999
113990.00000000,0.20742000,1757542499999
113988.00000000,0.15811000,1757542799999
113980.01000000,0.23289000,1757543099999
113988.00000000,0.29217000,1757543399999
113831.51000000,0.39892000,1757543699999
113819.44000000,0.05676000,1757543999999
113798.00000000,0.28373000,1757544299999
113886.23000000,0.10782000,1757544599999
113824.16000000,0.46581000,1757544899999
113954.99000000,0.30435000,1757545199999
114061.79000000,0.29589000,1757545499999
114063.52000000,0.61998000,1757545799999
113947.65000000,0.01891000,1757546099999
113957.89000000,0.00138000,1757546399999
113961.36000000,0.13867000,1757546699999
113878.94000000,0.05686000,1757546999999
113848.21000000,0.00008000,1757547299999
113882.99000000,0.22262000,1757547599999
113833.11000000,0.11144000,1757547899999
114018.57000000,0.51897000,1757548199999
113999.00000000,1.83408000,1757548499999
114007.00000000,0.49735000,1757548799999
113999.10000000,0.21625000,1757549099999
113995.96000000,0.48540000,1757549399999
113963.01000000,0.58462000,1757549699999
113894.73000000,0.01304000,1757549999999
113894.73000000,0.08410000,1757550299999
113846.01000000,0.19161000,1757550599999
113802.05000000,0.09357000,1757550899999
113752.63000000,0.57350000,1757551199999
113768.42000000,0.07381000,1757551499999
113877.36000000,0.04183000,1757551799999
113956.57000000,0.23074000,1757552099999
113938.32000000,0.02226000,1757552399999
113955.09000000,0.18396000,1757552699999
113978.29000000,0.02671000,1757552999999
114101.40000000,0.55739000,1757553299999
114064.88000000,0.22708000,1757553599999
114073.26000000,0.12084000,1757553899999
114046.67000000,0.06739000,1757554199999
114128.46000000,0.96428000,1757554499999
113890.46000000,0.10182000,1757554799999
113984.83000000,0.02857000,1757555099999
113903.50000000,0.04457000,1757555399999
113930.35000000,0.00268000,1757555699999
113993.36000000,0.00254000,1757555999999
113890.45000000,0.10587000,1757556299999
113912.00000000,0.00872000,1757556599999
113967.53000000,0.07053000,1757556899999
113866.83000000,0.01048000,1757557199999
113852.08000000,0.06699000,1757557499999
113817.53000000,0.06935000,1757557799999
113864.99000000,0.24739000,1757558099999
113977.08000000,0.18596000,1757558399999
113930.08000000,0.00228000,1757558699999
113903.38000000,0.22661000,1757558999999
113903.38000000,0.00000000,1757559299999
113875.26000000,0.00074000,1757559599999
113894.92000000,0.08196000,1757559899999
113898.51000000,0.04030000,1757560199999
113985.85000000,0.15970000,1757560499999
114076.91000000,0.04068000,1757560799999
114182.01000000,0.07978000,1757561099999
114171.98000000,0.28325000,1757561399999
114110.99000000,0.09566000,1757561699999
114125.33000000,0.00313000,1757561999999
114242.45000000,0.41804000,1757562299999
114326.39000000,0.22670000,1757562599999
114335.99000000,0.20376000,1757562899999
114475.07000000,0.71786000,1757563199999
114276.00000000,0.20418000,1757563499999
114329.01000000,0.18299000,1757563799999
114279.00000000,0.37086000,1757564099999
114340.46000000,0.16902000,1757564399999
114339.85000000,1.02399000,1757564699999
114299.56000000,0.08233000,1757564999999
114130.01000000,0.09193000,1757565299999
114198.00000000,0.80322000,1757565599999
114252.66000000,0.42838000,1757565899999
114147.01000000,0.25254000,1757566199999
114142.45000000,0.01811000,1757566499999
114142.45000000,0.00000000,1757566799999
114188.01000000,0.07339000,1757567099999
114247.73000000,0.25391000,1757567399999
114227.00000000,0.14173000,1757567699999
114122.99000000,0.21816000,1757567999999
114038.76000000,0.06164000,1757568299999
114101.87000000,1.20399000,1757568599999
114254.03000000,0.39556000,1757568899999
114357.00000000,0.37875000,1757569199999
114329.85000000,6.76658000,1757569499999
114296.01000000,1.21774000,1757569799999
114321.19000000,0.22911000,1757570099999
114303.17000000,0.14676000,1757570399999
114170.00000000,0.53981000,1757570699999
114143.01000000,0.22976000,1757570999999
114215.63000000,0.25509000,1757571299999
114199.98000000,0.06801000,1757571599999
114290.08000000,0.24024000,1757571899999
114312.99000000,0.54690000,1757572199999
114373.55000000,0.34612000,1757572499999
114435.00000000,0.07313000,1757572799999
114435.98000000,0.12973000,1757573099999
114458.01000000,0.18994000,1757573399999
114472.91000000,0.08299000,1757573699999
114421.00000000,0.53492000,1757573999999
114100.07000000,0.44860000,1757574299999
114094.01000000,0.40769000,1757574599999
114148.01000000,0.00149000,1757574899999
114058.03000000,0.25168000,1757575199999
114132.51000000,0.19717000,1757575499999
114105.26000000,0.36813000,1757575799999
