price,volume,closing_time
219.96000000,408.52800000,1757499299999
219.55000000,643.27200000,1757499599999
219.53000000,369.35000000,1757499899999
219.53000000,308.63400000,1757500199999
220.03000000,320.04100000,1757500499999
220.24000000,134.63700000,1757500799999
220.14000000,297.33800000,1757501099999
220.05000000,366.26900000,1757501399999
219.99000000,103.70400000,1757501699999
220.12000000,160.57900000,1757501999999
220.26000000,161.43400000,1757502299999
220.05000000,434.60800000,1757502599999
220.00000000,301.37900000,1757502899999
220.09000000,385.79100000,1757503199999
219.89000000,592.04700000,1757503499999
219.91000000,111.37500000,1757503799999
219.70000000,185.56600000,1757504099999
219.23000000,555.87000000,1757504399999
219.25000000,720.23500000,1757504699999
219.47000000,345.06700000,1757504999999
219.88000000,641.30400000,1757505299999
220.11000000,205.29700000,1757505599999
220.14000000,865.88100000,1757505899999
220.21000000,155.26600000,1757506199999
220.05000000,368.09700000,1757506499999
220.12000000,562.62200000,1757506799999
220.56000000,463.30400000,1757507099999
220.67000000,408.83000000,1757507399999
223.84000000,2796.50600000,1757507699999
223.03000000,2395.49000000,1757507999999
223.75000000,1378.89800000,1757508299999
222.65000000,1314.83200000,1757508599999
223.54000000,517.08200000,1757508899999
223.42000000,524.27400000,1757509199999
223.57000000,572.06400000,1757509499999
224.45000000,412.44700000,1757509799999
224.40000000,422.92300000,1757510099999
224.08000000,443.63700000,1757510399999
223.24000000,460.97100000,1757510699999
223.53000000,235.94000000,1757510999999
223.02000000,712.73300000,1757511299999
223.65000000,519.78800000,1757511599999
224.42000000,327.49400000,1757511899999
225.24000000,1287.34600000,1757512199999
223.64000000,1216.58300000,1757512499999
224.30000000,536.75200000,1757512799999
224.55000000,672.80900000,1757513099999
224.19000000,904.18400000,1757513399999
223.79000000,455.61200000,1757513699999
223.59000000,712.55700000,1757513999999
223.67000000,577.74700000,1757514299999
223.30000000,373.09100000,1757514599999
222.80000000,598.83700000,1757514899999
222.48000000,851.60100000,1757515199999
223.62000000,935.16900000,1757515499999
223.22000000,456.71000000,1757515799999
222.86000000,442.86900000,1757516099999
222.81000000,585.96400000,1757516399999
223.22000000,366.38100000,1757516699999
223.94000000,420.58200000,1757516999999
223.72000000,318.52500000,1757517299999
223.23000000,718.33200000,1757517599999
223.77000000,795.35900000,1757517899999
223.72000000,665.82400000,1757518199999
223.46000000,358.29800000,1757518499999
223.69000000,446.85500000,1757518799999
224.02000000,334.34700000,1757519099999
223.55000000,1518.79700000,1757519399999
223.43000000,321.32200000,1757519699999
223.19000000,358.59500000,1757519999999
222.98000000,365.20300000,1757520299999
223.05000000,411.71500000,1757520599999
222.94000000,530.19200000,1757520899999
223.20000000,701.10100000,1757521199999
223.13000000,485.62600000,1757521499999
223.33000000,477.67100000,1757521799999
222.93000000,428.43400000,1757522099999
222.67000000,273.16800000,1757522399999
222.96000000,303.66400000,1757522699999
223.09000000,321.28400000,1757522999999
223.62000000,308.93000000,1757523299999
223.78000000,201.61500000,1757523599999
223.80000000,646.71600000,1757523899999
223.53000000,239.17200000,1757524199999
223.58000000,63.33900000,1757524499999
223.30000000,421.09200000,1757524799999
222.82000000,445.40500000,1757525099999
221.90000000,546.68500000,1757525399999
222.04000000,502.03800000,1757525699999
222.13000000,220.52800000,1757525999999
222.48000000,316.59900000,1757526299999
222.59000000,384.88100000,1757526599999
222.42000000,534.40300000,1757526899999
222.70000000,231.24700000,1757527199999
222.97000000,236.15300000,1757527499999
222.70000000,466.90900000,1757527799999
222.61000000,313.32600000,1757528099999
222.14000000,190.72400000,1757528399999
221.88000000,268.87000000,1757528699999
221.67000000,390.42200000,1757528999999
222.25000000,755.33100000,1757529299999
222.46000000,138.60400000,1757529599999
222.37000000,69.51800000,1757529899999
222.15000000,550.33400000,1757530199999
222.41000000,966.35700000,1757530499999
222.95000000,131.80100000,1757530799999
222.31000000,252.55000000,1757531099999
222.78000000,403.91400000,1757531399999
221.92000000,357.29100000,1757531699999
221.79000000,325.66900000,1757531999999
221.43000000,301.68700000,1757532299999
221.37000000,649.90700000,1757532599999
221.12000000,538.53600000,1757532899999
220.83000000,514.21400000,1757533199999
221.64000000,389.82800000,1757533499999
221.61000000,571.89400000,1757533799999
221.77000000,434.71800000,1757534099999
221.35000000,427.82100000,1757534399999
221.22000000,375.93200000,1757534699999
221.74000000,420.79000000,1757534999999
221.97000000,230.12200000,1757535299999
222.10000000,53.98900000,1757535599999
222.22000000,218.01600000,1757535899999
222.17000000,227.30100000,1757536199999
221.68000000,308.46200000,1757536499999
222.09000000,282.86700000,1757536799999
222.21000000,188.46500000,1757537099999
222.43000000,468.46800000,1757537399999
222.52000000,274.92100000,1757537699999
222.68000000,210.24600000,1757537999999
223.03000000,216.20500000,1757538299999
223.23000000,235.08900000,1757538599999
222.92000000,39.84200000,1757538899999
223.15000000,139.19500000,1757539199999
223.13000000,314.36400000,1757539499999
223.14000000,42.57700000,1757539799999
223.21000000,266.28200000,1757540099999
223.48000000,106.49200000,1757540399999
223.26000000,53.51900000,1757540699999
223.53000000,102.31600000,1757540999999
223.41000000,293.67100000,1757541299999
223.81000000,31.82000000,1757541599999
223.77000000,155.59700000,1757541899999
223.75000000,238.75100000,1757542199999
223.89000000,6.79200000,1757542499999
223.87000000,63.71100000,1757542799999
223.37000000,90.13000000,1757543099999
223.86000000,245.25300000,1757543399999
223.85000000,510.41700000,1757543699999
223.78000000,133.61600000,1757543999999
223.71000000,142.52800000,1757544299999
223.96000000,116.13800000,1757544599999
224.08000000,270.19300000,1757544899999
224.44000000,335.18200000,1757545199999
224.42000000,163.01800000,1757545499999
224.58000000,110.59300000,1757545799999
224.40000000,17.32400000,1757546099999
224.58000000,51.94900000,1757546399999
224.38000000,55.91800000,1757546699999
224.11000000,151.60400000,1757546999999
224.34000000,285.84600000,1757547299999
224.42000000,6.03600000,1757547599999
223.99000000,124.81400000,1757547899999
224.01000000,357.86400000,1757548199999
224.19000000,94.48800000,1757548499999
224.15000000,264.75000000,1757548799999
224.26000000,241.35200000,1757549099999
224.47000000,272.25300000,1757549399999
224.44000000,374.81800000,1757549699999
224.81000000,178.90000000,1757549999999
225.15000000,242.55400000,1757550299999
225.39000000,189.64700000,1757550599999
224.80000000,589.84300000,1757550899999
224.74000000,452.20000000,1757551199999
224.96000000,152.92500000,1757551499999
224.79000000,211.51100000,1757551799999
225.32000000,110.24900000,1757552099999
225.11000000,103.09000000,1757552399999
225.42000000,234.02400000,1757552699999
225.53000000,121.46000000,1757552999999
225.56000000,105.68500000,1757553299999
224.89000000,81.41500000,1757553599999
224.70000000,18.87000000,1757553899999
225.13000000,304.97500000,1757554199999
225.45000000,213.41200000,1757554499999
225.33000000,179.11400000,1757554799999
225.71000000,112.80900000,1757555099999
225.21000000,200.82400000,1757555399999
224.98000000,64.60000000,1757555699999
224.93000000,55.95100000,1757555999999
224.76000000,121.47100000,1757556299999
225.02000000,44.59000000,1757556599999
224.83000000,141.24500000,1757556899999
224.18000000,485.23800000,1757557199999
224.01000000,75.62000000,1757557499999
223.97000000,26.52600000,1757557799999
223.57000000,300.59600000,1757558099999
223.70000000,203.37100000,1757558399999
223.47000000,121.93700000,1757558699999
223.59000000,92.19400000,1757558999999
223.49000000,172.55300000,1757559299999
223.09000000,387.80900000,1757559599999
223.46000000,150.93600000,1757559899999
223.57000000,158.87400000,1757560199999
223.81000000,144.42400000,1757560499999
223.76000000,198.67100000,1757560799999
223.97000000,145.79900000,1757561099999
224.43000000,441.35400000,1757561399999
223.99000000,413.31700000,1757561699999
224.25000000,96.58700000,1757561999999
224.22000000,107.32700000,1757562299999
224.67000000,136.01300000,1757562599999
224.42000000,124.53200000,1757562899999
224.29000000,209.12000000,1757563199999
224.04000000,255.09900000,1757563499999
223.16000000,117.21100000,1757563799999
223.11000000,159.71600000,1757564099999
223.35000000,288.23900000,1757564399999
223.20000000,301.83800000,1757564699999
223.33000000,124.60900000,1757564999999
222.82000000,357.28000000,1757565299999
223.39000000,500.70900000,1757565599999
223.76000000,217.94800000,1757565899999
223.55000000,281.09200000,1757566199999
223.58000000,194.14200000,1757566499999
223.64000000,230.11400000,1757566799999
223.25000000,104.21000000,1757567099999
223.72000000,243.22800000,1757567399999
223.51000000,158.02600000,1757567699999
222.96000000,109.02900000,1757567999999
222.64000000,157.95500000,1757568299999
222.76000000,587.17900000,1757568599999
222.30000000,543.02000000,1757568899999
222.49000000,121.58000000,1757569199999
222.30000000,751.04500000,1757569499999
222.01000000,50.89500000,1757569799999
222.48000000,280.60500000,1757570099999
222.46000000,153.05100000,1757570399999
222.30000000,228.42600000,1757570699999
222.20000000,19.37000000,1757570999999
222.62000000,221.47200000,1757571299999
222.78000000,998.90200000,1757571599999
223.16000000,197.41800000,1757571899999
223.08000000,115.37700000,1757572199999
223.36000000,236.96600000,1757572499999
223.23000000,147.92600000,1757572799999
223.37000000,307.99800000,1757573099999
223.35000000,146.68200000,1757573399999
223.54000000,133.80000000,1757573699999
223.48000000,71.12300000,1757573999999
222.66000000,348.10500000,1757574299999
222.45000000,697.79600000,1757574599999
222.65000000,141.02500000,1757574899999
222.42000000,187.09600000,1757575199999
222.86000000,296.20000000,1757575499999
222.65000000,329.86100000,1757575799999
222.74000000,250.77400000,1757576099999
222.88000000,133.58100000,1757576399999
223.12000000,242.38300000,1757576699999
223.43000000,335.52900000,1757576999999
223.43000000,285.19700000,1757577299999
223.39000000,206.73700000,1757577599999
223.30000000,279.23700000,1757577899999
223.39000000,254.61300000,1757578199999
